order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer,z_score,hampel_score
ORD278014,ID0634780142,2019-11-07,Thompson,"[('Olivia x460', 2), ('Thunder line', 1)]",4630,75.21,-37.81194970000001,144.9386294,25,3547.71,Spring,False,0.7466,great product so far working with out any problem,True,-0.1037306377424924,0.15240083507306965
ORD375106,ID0777825626,2019-07-29,Thompson,"[('Alcon 10', 2), ('Candle Inferno', 2), ('pearTV', 1)]",25070,82.1,-37.80396500000001,144.9574007,15,21391.6,Winter,True,1.3287,great phone the first one i had i had to send back. second one is working great. i like the stock phones from android better. i have a hard time with olivia and not being able to remove their apps. same problem with stock android as well but not nearly as much stuff on pixels.,True,0.32055955088999777,0.5668058455114812
ORD100242,ID2020813846,2019-05-12,Thompson,"[('Thunder line', 2), ('iStream', 1), ('Candle Inferno', 2)]",5370,67.11,-37.8115721,144.9590624,15,4631.61,Autumn,False,1.0618,"looked great at first the rubber parts are now ""shedding"".",True,-0.602533326846,0.9979123173277659
ORD215732,ID0595594370,2019-06-30,Thompson,"[('Olivia x460', 1), ('Toshika 750', 1)]",5545,64.19,-37.8144545,144.9548937,5,5331.94,Winter,False,0.7161,nice all good,True,-0.7823486172388697,1.3027139874739035
ORD415927,ID2975229838,2019-11-13,Thompson,"[('Candle Inferno', 1), ('iStream', 1), ('Thunder line', 1), ('Universe Note', 1)]",6210,68.56,-37.8014705,144.9578627,5,5968.06,Spring,False,1.5673,certified refurbished...more like certified crap!! no blemishes on the phone. perfect condition...but a full battery will last me literally an hour and a half with medium battery settings. apps freeze and sometimes don't even open. overall bad performance.,False,-0.5132414874385818,0.8465553235908136
ORD124422,ID0340367480,2019-05-13,Bakers,"[('Lucent 330S', 1), ('iStream', 1), ('pearTV', 2), ('Candle Inferno', 1)]",14430,50.51,-37.8178794,144.99298480000004,25,10873.01,Autumn,False,0.8995,one star sold me a trash phone that randomly cuts off and reatarts. gave me no reasonable exchange options,False,-1.6247709366136833,2.730688935281836
ORD310047,ID2975229835,2019-04-04,Thompson,"[('Olivia x460', 1), ('Lucent 330S', 1), ('iAssist Line', 2), ('pearTV', 2)]",19525,52.84,-37.8011794,144.9579044,5,18601.59,Autumn,False,1.5954,"this phone is like garbage sorry, this video is unsupported on this browser.  super sad . i was so exited to get this phone unfortunately i dont even see the screen on, i will return this phone back!!!!!!!!!!!",False,-1.4812881877727972,2.4874739039665954
ORD325038,ID1449285230,2019-01-07,Nickolson,"[('iStream', 1), ('pearTV', 1)]",6460,96.96,-37.8159878,144.98306430000005,10,5910.96,Summer,True,1.2232,my favourite phone so far. i love this phone.. it's amazing. great buy.,True,1.235646953368779,2.117954070981209
ORD058764,ID0711331401,2019-01-18,Thompson,"[('Alcon 10', 1), ('Candle Inferno', 1)]",9380,75.75,-37.80727020000001,144.9569093,15,8048.75,Summer,False,1.0539,perfect phone for those who value their hard earned money. good phone and cheap price what else can you ask for.,True,-0.07047712513559148,0.09603340292275586
ORD106805,ID6167344375,2019-02-04,Nickolson,"[('Thunder line', 1), ('pearTV', 2), ('Toshika 750', 1)]",19120,72.98,-37.812506,144.9677986,10,17280.98,Summer,False,0.6951,"three stars it didn't come in retail packaging as stated, yes it's important for what i needed it for.",True,-0.24105532869321064,0.3851774530271394
ORD010857,ID5563404260,2019-10-17,Bakers,"[('Olivia x460', 2), ('Candle Inferno', 1)]",2880,108.51,-37.81806829999999,145.0106825,0,2988.51,Spring,True,1.629,great service by just as advertised. great service by seller,True,1.9469026396830413,3.3235908141962405
ORD182076,ID0267315670,2019-07-15,Nickolson,"[('Candle Inferno', 1), ('Lucent 330S', 1), ('pearTV', 2), ('Universe Note', 2)]",21180,75.26,-37.823454,144.9761762,0,21255.26,Winter,True,0.795,a very good phone haven't had any problems with it yet very happy with the rog phone the best phone i've had.,True,-0.10065160879740831,0.14718162839248392
ORD379027,ID6167344520,2019-07-01,Nickolson,"[('iAssist Line', 2), ('pearTV', 2), ('iStream', 1), ('Candle Inferno', 2)]",18080,64.0,-37.8117685,144.96778030000004,25,13624.0,Winter,False,0.7757,"the phones were purchased for family paola and grace were very pleased with the purchase of the phones and protective covers, they live out of states",True,-0.7940489272301864,1.3225469728601247
ORD069883,ID4336550012,2019-03-24,Thompson,"[('Olivia x460', 2), ('Alcon 10', 1), ('pearTV', 2), ('Universe Note', 2)]",30920,83.81,-37.7984477,144.9590122,10,27911.81,Autumn,True,1.9003,"so easy to use loving this phone. beautiful clear screens. love ""ok google"" to make calls or find directions.",True,0.42586234081185,0.7453027139874735
ORD012942,ID5402876529,2019-06-25,Nickolson,"[('Lucent 330S', 2), ('iStream', 1), ('Alcon 10', 2)]",20510,76.24,-37.8210001,144.9767196,5,19560.74,Winter,True,0.6849,four stars good!,True,-0.040302641473774645,0.04488517745302783
ORD221582,ID0781000343,2019-05-07,Thompson,"[('Candle Inferno', 1), ('Thunder line', 2), ('Olivia x460', 1)]",6015,65.46,-37.8050057,144.9493563,25,4576.71,Autumn,False,0.8769,all the spects are great but don't get carried away with the battery. i believe this phone is great for it's price but the seller kinda exaggerated the battery life. although every other feature is basically 4 stars and better. i would have purchased the xl version in retrospect.,True,-0.704141282033752,1.1701461377870566
ORD275381,ID0844460328,2019-08-22,Thompson,"[('Olivia x460', 2), ('Candle Inferno', 2)]",3310,64.78,-37.8196958,144.94689730000005,15,2878.28,Winter,False,0.7819,great buy! phone came with a 98% battery capacity!,True,-0.7460160756868855,1.2411273486430057
ORD030644,ID1404219801,2019-06-04,Bakers,"[('Candle Inferno', 2), ('Alcon 10', 2), ('pearTV', 2)]",31380,75.16,-37.8025023,144.9923117,10,28317.16,Winter,True,0.8728,nice had issue with initial purchase and seller very quick corrected and replaced. but did find cheaper after purchase elsewhere.,True,-0.1068096666875756,0.15762004175365388
ORD386974,ID0248236928,2019-01-24,Bakers,"[('Alcon 10', 1), ('Olivia x460', 1), ('Toshika 750', 1), ('Thunder line', 2)]",18855,102.74,-37.8260228,145.0010929,0,18957.74,Summer,True,1.857,works great!,True,1.5915826994204183,2.7212943632567828
ORD017291,ID6167289289,2019-04-14,Nickolson,"[('Universe Note', 1), ('iAssist Line', 1), ('Thunder line', 1)]",7855,67.07,-37.8097466,144.9637581,5,7529.32,Autumn,False,1.1089,five stars would recommend this seller. item was perfect and as described.,True,-0.6049965500020672,1.0020876826722342
ORD363590,ID4754200407,2019-04-18,Thompson,"[('Lucent 330S', 1), ('Toshika 750', 2)]",9870,67.24,-37.8167361,144.92739519999995,10,8950.24,Autumn,True,1.7882,a scam the phone has only 8gb instead of the 64 gb i paid for .a scam,False,-0.5945278515887835,0.9843423799582465
ORD101551,ID0277125097,2019-03-21,Thompson,"[('Alcon 10', 2), ('pearTV', 1)]",24210,77.47,-37.8129011,144.9428889,5,23076.97,Autumn,True,0.3685,"four stars great phone, with great features.",True,0.03544147057527682,0.08350730688935247
ORD251754,ID0241807190,2019-10-26,Bakers,"[('iStream', 2), ('Alcon 10', 1)]",9250,100.49,-37.8166221,144.9879502,10,8425.49,Spring,True,0.9768,"awesome phone for the money came in perfect condition. original description said there were a few cosmetic scratches, however it looked brand new from day one! so happy with my purchase.",True,1.453026396891666,2.486430062630478
